PromotionID,PromotionName,PromotionType,StartDate,EndDate,DiscountPercentage,RowHash
dfc7fc30-b9e3-4cef-96ff-de42386ba18a,Fully-configurable even-keeled protocol,Seasonal,2024-12-19,2025-07-04,27.43,7c8d7480e5adcc2e204950747029c70d
96ef03b7-6535-44b5-8ae1-33cb1c47d686,Sharable responsive hierarchy,BOGO,2024-07-18,2025-07-11,7.19,8bc40dd8a567ed132c246641702e2954
020b679a-f6e6-4bd3-82b4-6c494894cf63,Phased discrete help-desk,Flash Sale,2024-10-15,2025-08-01,18.02,8bd6835a416457981bb4a73eba488a51
c7bea7ec-cd64-4a07-bef0-0de465362adf,Vision-oriented background groupware,BOGO,2025-02-02,2025-05-29,15.43,6f4dca3188bddf4b51dd3f67a95fd618
ced4ebab-da46-4e3f-8218-1023f4cb5909,Networked impactful hub,BOGO,2025-03-23,2025-06-13,15.66,01df2b800dce50757be538436076eaef
0c73bd7a-b9e8-4ac1-bbda-275a8b892745,Re-contextualized asymmetric flexibility,Seasonal,2024-11-16,2025-07-25,27.74,6328b21c30a0e4405a9d5ef9fd5e6521
d83a0fa3-65fe-4707-bc5f-7e425590a75a,Networked cohesive hub,Seasonal,2025-03-12,2025-06-04,16.23,7f63d3fb91390a408e648140a977b0bd
3198fde1-88f8-49dc-b7db-40b9dc04ad2b,Sharable multimedia approach,BOGO,2025-01-06,2025-08-08,10.17,cc25b7c72a7ca47700125158a5632bc6
43f15b48-99e4-42e0-a087-20502351b9a9,Operative intangible framework,BOGO,2024-06-20,2025-06-06,19.53,d6c6d11eb3f07af05dbb37f7f8d06322
4ced16ab-3d56-41a8-a7b3-33fe48a4cabf,Phased zero tolerance hub,BOGO,2024-08-04,2025-06-05,26.56,eb364695d200a3f9a1309941d36fd53b
