ChannelRefID,ChannelID,Description
ACR0001,CHAN005,Pass we nothing almost eight.
ACR0002,CHAN018,Glass in which child network argue at budget.
ACR0003,CHAN010,As place structure baby quality radio other.
ACR0004,CHAN006,Of skin eat measure.
ACR0005,CHAN001,Price camera myself garden ok prove.
ACR0006,CHAN005,Assume paper thus send.
ACR0007,CHAN009,Bag activity little shoulder around.
ACR0008,CHAN012,Tell hundred environment institution short.
ACR0009,CHAN014,Worry determine large suffer into.
ACR0010,CHAN002,Base red law other.
ACR0011,CHAN017,Central sea direction value.
ACR0012,CHAN014,To listen region close debate wife property.
ACR0013,CHAN013,Need person piece his really lot seven.
ACR0014,CHAN009,Off well allow ago safe security reduce.
ACR0015,CHAN015,Tonight view ready organization herself business history.
ACR0016,CHAN015,Mrs paper carry well tree nor.
ACR0017,CHAN011,Least from option draw wide.
ACR0018,CHAN016,Meet pay late me behind.
ACR0019,CHAN017,Third specific often.
ACR0020,CHAN004,Class air billion true.
